mouseId	genotype	cage	time	initialBodyWeight	lowestBodyWeight	bodyWeightAtDay8	bodyWeightDay8Fracion	maxWeightLossPercent	numberSequencesPerSample	shannonEntropy	"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"	"MDS24"	"MDS25"	"MDS26"	"MDS27"	"MDS28"	"MDS29"	"MDS30"	"MDS31"	"MDS32"	"MDS33"	"MDS34"	"MDS35"	"MDS36"	"MDS37"	"MDS38"	"MDS39"	"MDS40"	"MDS41"	"MDS42"	"MDS43"
1	KO	00m.1	0	23.5	23.3	23.4	0.99574465	0.85	129922.0	1.1179514618289523	-0.0973712195951004	0.0197448508002457	0.123197653131671	-0.0419083340314751	-0.163134630568639	0.0465677871399716	-0.06188905639249	-0.155486473929839	-0.0281410811459182	-0.0846778073881425	0.122970280969565	-0.0406344122219742	0.108836677067007	-0.0797907007693226	-0.0081552975454873	-0.0244835340646453	-0.0394524542429533	-0.0106178350005932	0.0648473279351887	-0.109994043027884	0.0111309620064809	0.0709454483303655	0.0291686343656629	0.124723943503673	-0.144265011618247	0.233620805406171	-0.030931808390665	-0.0681772070635388	0.0954039969089056	0.201212524013653	0.0798152095373122	-0.148314890346183	0.236105195397775	0.08517696130667	0.0201929191684346	-0.170142247734672	-0.201857221085589	-0.00394678060778358	0.186335877007587	0.126923326630761	-0.154909508267937	-0.0259831705567288	-0.00416534437418791
2	KO	00m.1	0	24.0	19.1	19.8	0.825	20.42	159142.0	1.1966977492539408	-0.103530462180611	0.00701502100860163	0.0753824042052083	-0.170284650800228	-0.116517945517286	0.0853253965179251	0.056629668173041	-0.138239367243214	-0.0126745297996536	-0.0389731418360484	0.0944327640425344	-0.112462313746735	-0.0582132065322441	0.0279962194087323	0.073421757026301	-0.0871039230159868	-0.0663022125450121	0.0806881455815314	0.0906275011163896	0.0866069756173532	-0.000300133353382809	0.199562448426513	0.0518663402139352	-0.0331804043770451	0.0281807305703367	-0.00889721316242295	-0.125971619428823	-0.0444366538965525	-0.0734184743477575	-0.146047797717656	0.0869706335892897	0.0319418431344325	0.231377901079851	-0.0409964138653773	-0.0791109294275843	0.0558595109685185	0.184028233003625	-0.00725897817384137	-0.0436196835487035	-0.159053588583792	0.0378941022155298	-0.228106407311724	0.0523999924424712
3	KO	00m.1	0	19.1	19.1	19.5	1.0209423	0.0	159156.0	1.352123506383496	0.109315051240766	0.0260763765722719	0.0637345361383022	0.0696816361834713	-0.0807592996075074	0.0448774923156609	-0.0405104804567075	-0.165891089874649	-0.0968605729133846	-0.0437622287101003	0.0628086704333027	-0.0852298873998455	-0.0231466518935283	-0.122834788977439	0.285726808099955	-0.00999517455639448	-0.15732255493543	-0.0104613806004904	0.133462995835399	-0.0676963805391832	-0.15481172148767	0.0722302599656338	0.0982632685771398	0.0530946006983604	-0.0885835994662184	0.0154119363064767	0.102240534295526	-0.0993540869526283	-0.0406791026562914	0.0759091068032217	0.183011482297325	-0.0733934159909474	0.0175637124324781	-0.0367715600538768	-0.0420166466761126	0.0385850102738426	0.0633234979732129	0.152919039046328	-0.182453446899685	-0.11809321272451	0.344354914772642	-0.045807635078026	0.123979785540752
4	KO	00m.2	0	20.8	20.8	20.9	1.0048077	0.0	152759.0	1.433008583553482	0.0684211508340691	0.0524228225927134	0.0407736884875152	0.0610715123877758	-0.101570377479033	-0.00940805141328433	-0.026152958688103	-0.226325749636593	-0.0229545226088953	-0.0150817287333054	-0.0952008682471453	0.0808458799324057	-0.00770544066726334	-0.00515009674015627	0.106127665003427	0.0498444948631033	-0.0877975547411353	0.00421469308759365	-0.0812852774062408	0.156695613678021	-0.119244228844701	0.0794244936257061	-0.17729244405966	0.00143575100798555	-0.153854841172813	-0.0688013634954688	-0.109299683435387	-0.042625361635	-0.0444982384449921	-0.0949031086055821	-0.163506293741972	-0.049233340198206	-0.0176246154019986	0.0609873295208241	-0.117854832394741	0.0878073074139348	0.0305928518890765	-0.191300265233481	-0.0761360429671264	0.184370547936738	-0.260058400797664	-0.131727465323375	0.261339537033459
5	KO	00m.2	0	24.6	23.9	24.0	0.9756097	2.85	132155.0	1.4850894177586182	0.11459249698498	0.0814552584325335	0.0539896229410053	0.075656828047064	-0.080050920115598	0.0184768966083851	0.0112543464469718	-0.0850658253820961	-0.11592852313569	0.103383385546705	0.13908228773781	-0.037525586935721	-0.0231599177128961	-0.0343713850826393	-0.052077579151272	0.0511509729295193	-0.0635926303894843	0.0406301539408894	-0.140995524292722	0.0602841961513058	0.0515640243253452	0.0780244509474083	-0.241023824334145	-0.188788877875905	-0.112202902126512	0.206272560358302	0.0483502497895169	-0.053965944937416	-0.0169287598503437	0.041185190424734	-0.0516883894294855	-0.149389900645269	0.1691190830447	-0.0340295255353293	0.168382011271973	0.0639127181465065	0.18207818265007	0.156252238664679	0.115845329911961	0.162402238444392	-0.0836712722723948	-0.121884937431422	-0.43953631043867
6	KO	00m.2	0	21.9	21.8	21.8	0.99543375	0.46	132953.0	1.4903810484296387	-0.0524515122833847	0.0303487733431884	0.0924764824897694	-0.157545546179496	-0.0821143836264091	0.0194949246824129	0.0455551825792912	-0.16839924231009	0.0854808318889768	-0.0545956781907963	-0.0273798055020734	0.117054222897978	0.0175496376822503	0.0409525023813147	-0.0866210105149809	-0.0585752602094627	-0.128561733159229	0.155032924272296	0.0460986599259778	0.10463496387685	-0.00876943139950563	-0.0841333464559709	0.163770119895247	-0.20683735440554	-0.012064499780462	-0.0440033464541057	-0.143994383373075	-0.242467662206573	-0.0283751339891379	-0.126902523260624	-0.0622159494706774	-0.0939129551797644	-0.108498377500139	-0.0436894387259439	0.0115984707196755	0.149223683830961	-0.056086302410191	0.071008950517088	-0.149930446694625	0.00911635313738497	0.0270012805930104	0.194886539340428	-0.0274693222436056
7	KO	00m.3	0	18.8	18.8	19.5	1.0372341	0.0	141535.0	1.614021508105465	-0.0297230956912698	0.0478400680680316	0.0139230653414472	-0.124405640105275	-0.0900288411542498	-0.039974359107407	0.091411133731039	-0.0468809762179627	0.15984548100483	-0.166647817054562	-0.103292621546245	0.035795869887783	0.0326033503423172	0.0390317634026693	-0.208963984057559	-0.0913710021681509	-0.0458941577883572	-0.128771950762836	0.00321298242987376	0.138565172822343	0.163956517462292	0.117534166820061	-0.175353153140674	0.0142401199096797	-0.0393415237196537	0.170466736702828	-0.112035287478179	-0.0373617960499227	0.220573966603973	0.253882380848828	0.150152209490835	0.074064907419798	0.0142315210776964	-0.165133918547142	-0.181996590241322	-0.0144938395531374	0.00904051255009054	-0.0202224269120628	-0.0321770214295449	-0.0204357254801801	0.0693876948982586	-0.0218988262561833	-0.0519180237023281
8	KO	00m.3	0	18.4	18.4	19.0	1.0326087	0.0	130614.0	1.8160236461713575	0.131119664635768	0.116316906360426	0.011555393186333	0.0587788839155412	-0.0339427675650796	0.0128229342567423	0.0921151337064492	-0.0234467364316911	-0.0213227332392655	-0.0583061481017514	-0.192483252184935	0.0640032858979527	0.0993544986168584	-0.00232025040832102	0.110964329009762	-0.172400701616202	-0.0327722184540052	0.0461811170825613	-0.107290427010637	0.0745530923791774	0.105719783087492	0.00319989295995697	-0.0131864176551025	-0.179887420952923	0.0645283877016621	0.117476054635433	-0.0570835494430304	-0.0151220086448237	0.00857513834304607	-0.0253200171294843	0.0775484495708763	0.196057313509275	0.0417581212953758	-0.125340058880492	-0.181514576569139	-0.170656875894962	-0.0709526164857252	0.0392264927847066	0.0421122643544437	-0.184068583059156	-0.0509832377336732	0.118240772190447	-0.122563126632557
9	KO	00m.3	0	19.4	19.0	19.4	1.0	2.06	119074.0	1.4359229294555373	0.0660464921552363	0.10409941356408	0.0733231376531442	0.0809366407582214	-0.100586696994996	-0.134314786696355	0.129573235186369	-0.0348664933386575	0.161750903897276	0.0241518721921584	-0.102806426871478	-0.135445123134827	0.140448881506264	0.13544730232841	0.0781730725943866	-0.0426697271843205	0.00314619516307084	0.213916410812709	-0.154388963500621	0.0642000691822163	-0.0558720274459474	0.0204638296148917	-0.123288485519503	-0.0245007717809238	0.0211484704711738	-0.0336575016000788	-0.0749746808073468	-0.0411311755845761	-0.000795722832010906	0.189816941533384	-0.0260468936622153	0.023115571149717	-0.145391672817299	0.212633587354622	0.146927682191102	-0.0649718488995816	-0.357740712495378	0.18436748186153	-0.0836256961875641	0.0383821269010673	-0.00617203811841537	-0.11128281850177	0.159961973560984
10	KO	04m.1	4	25.2	23.8	23.8	0.94444436	5.56	138936.0	1.708690920177396	-0.153690242046794	0.133591795974854	0.136411902344628	0.102523417211544	0.0706881463450078	0.0201384426108954	0.0378835335545148	-0.0359236715794244	-0.0463353405991092	0.0855649870688056	-0.150376760642459	-0.0779291074903823	-0.0709085178502945	0.152234375626478	0.00998402941650752	-0.0910227397762465	0.107466115492951	-0.307391373592187	0.0455617903264462	0.125103249849809	0.011873849650195	-0.111540653513615	0.0387202993200765	-0.0887290974489899	0.0871455868013044	-0.0660142072045648	-0.00644612788455397	0.070545317053696	-0.169102316733716	0.199545659556503	-0.0508532306207378	-0.049838831491103	0.177202883488124	-0.203988413645547	0.0786082426098423	-0.187555217776873	-0.0649995704256754	-0.0232006369782122	-0.0441847141034084	0.0879839070955584	-0.0723055730778889	0.0662720808017282	0.108152956760383
