mouseId	genotype	cage	time	initialBodyWeight	lowestBodyWeight	bodyWeightAtDay8	bodyWeightDay8Fracion	maxWeightLossPercent	numberSequencesPerSample	shannonEntropy	"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"	"MDS24"	"MDS25"	"MDS26"	"MDS27"	"MDS28"	"MDS29"
19	KO	12m.1	12	26.6	21.6	22.1	0.83082706	18.8	165862.0	0.735607431406284	0.164966515977412	-0.0148543903114699	-0.345828396169529	0.0836151923319364	-0.162682613998462	0.0112017003600356	-0.179376642998935	-0.00111781322582719	0.166214106584518	0.210303135220339	-0.0169212644069188	0.111460154943738	-0.0880182479922822	0.0506933766896943	-0.104276425449737	-0.00834678087427536	-0.140555767947468	-0.0454374784829538	-0.0352914376166955	0.0722984578624677	-0.0140569774639476	-0.060858998165333	-0.0999818148704384	-0.0204284981531705	-0.00486070566688787	-0.0631580889169375	-0.0997050206447789	-0.0401247693304466	0.00709344054907443
20	KO	12m.2	12	19.1	16.8	16.8	0.8795811	12.04	181427.0	0.7566523769594083	0.213117948195299	0.0088136501865807	-0.175352321054817	0.0175021825380496	0.160453728523188	0.043496352956781	0.0879211920048768	-0.000556948535336887	-0.0419241856851907	-0.0878168078675484	-0.0804969907065902	-0.0903740789904365	-0.0964693853406848	0.0909933062709773	-0.260981207305592	0.114865542179015	-0.0945589815256234	0.201942745845573	0.164276462385052	0.0241319212848075	-0.12068380560492	0.00079894782939395	0.0911861743434891	-0.0312393309867619	-0.18185211479725	-0.0383626604411872	-0.0517336208991348	0.0293173427351884	0.145081633330336
21	KO	12m.2	12	19.2	15.7	16.1	0.8385416	18.23	172806.0	0.6254551834420932	0.154486226995099	-0.0393404153436419	0.11277297478493	0.172631013625673	-0.0281974152770389	-0.0694277223479237	0.00828250631885567	-0.0601870412060783	0.0530199919472526	-0.11553437345527	-0.148842782632836	0.0640714013766128	-0.100062675632182	0.108341254913974	0.0347108753806521	0.123143715372665	-0.0321418647683503	0.126267039932528	0.036019756701123	0.0524662247358341	0.125018212855774	0.248128999882261	0.187579714335633	0.0820483694140815	-0.100100618361762	0.02293923742299	-0.242817854929463	-0.0826757349434213	0.0252453238134607
22	KO	12m.3	12	23.7	20.3	20.3	0.85654	14.35	147795.0	0.42605578688516704	0.20498810761344	0.00406448374741778	0.166067058049345	0.202390521203488	0.00452358419126914	0.194963035362282	-0.210766672463931	0.0479903155683348	0.0814397442371439	0.0330667938532518	-0.0706341259099992	0.264481650291032	0.0185084776016014	-0.158982274824525	-0.0228563946195249	-0.0175517891328347	-0.0676753164585926	-0.171041692671958	0.00813762472874026	0.0418414844791158	0.00901129101996181	-0.0546496130000938	0.0811150999602228	-0.0678188151398511	0.10435916881202	-0.00376216876633591	0.0729079682498106	-0.00927436750583667	-0.074381199839807
23	KO	12m.3	12	23.3	21.0	21.1	0.90557945	9.87	122272.0	1.0426560802079567	0.0275272254268449	-0.195398377829841	-0.05387189634284	-0.0612666696821504	-0.10164614320455	0.094126597922908	-0.0115709059768669	0.0711464410276188	-0.120205264364489	-0.140802674166482	-0.0049566828108333	-0.00771076572594288	0.00846109505704911	-0.154661318275859	0.01874733143621	0.0709340349536792	-0.0630556157670651	-0.201843836585901	0.0224885323257554	0.0559804944483629	-0.00321428387267761	0.130511541487109	-0.273857360117091	0.136857431004888	-0.295880094623678	-0.0224441049269386	-0.00265577546355686	0.101178745954353	0.0543605539319307
24	KO	12m.4	12	18.8	14.6	15.3	0.81382984	22.34	143776.0	0.5414444428977057	0.178726550805587	-0.0459694961222928	0.0927725101056532	0.0511497103751038	0.187991394929162	-0.00128723872592529	-0.0873853086292898	0.0118945433288725	-0.14173999816176	-0.020217028207078	0.0291888760519836	-0.0405673440983506	0.108082552553141	-0.319025973864477	-0.0338344551700785	-0.161066180060668	0.00314945897195588	-0.0133709230674541	-0.000253531279998288	0.149914974750621	0.0361239017664383	-0.0198613671937614	-0.13353636036404	0.0611846008441625	-0.0330181884056948	0.0614339414454029	0.0172497724743183	0.0239283417473091	0.0373765747524396
25	KO	12m.4	12	19.0	14.2	14.2	0.7473684	25.26	146547.0	0.6632067967768157	0.10397152924879	-0.107247138225607	0.0171322458498486	0.204865772896203	-0.0341201393624834	-0.149458431934865	0.123052159810435	-0.0350611720938674	0.0536697663610438	-0.0331717007711762	0.16635524145697	-0.0497318894119693	0.00861489883799492	0.0767935026851385	0.0825548315013917	0.138390341206633	0.0831824804850039	-0.130638825563716	-0.0834638198366999	0.144189153810804	-0.102464007560508	0.0304483654350847	-0.0996638869678019	0.0166007858574663	-0.00773413115433145	0.0192817644841454	0.181752988767603	-0.0975188872929824	-0.201594965559144
26	KO	18m.1	18	23.0	17.8	18.0	0.7826087	22.61	142881.0	0.5954251425298208	-0.0188419339448097	0.166057690868195	-0.0172002609266474	0.0672896200066377	-0.194500801235179	0.310538258205538	0.118712307264778	-0.152046777429976	0.0542487099766537	0.0647308122136319	0.074663706611498	-0.0753610360049567	-0.0482488082848136	-0.0475203725679861	-0.194356317620557	-0.350816634136113	0.0624186235757955	-0.151627079302896	-0.104288758305464	-0.0706036069619597	-0.1523319031456	-0.0523408635291157	-0.0497971850579529	-0.126569662157151	-0.010255566855096	-0.127463105455066	-0.091199689533559	-0.0316927278759578	-0.00648637554433659
27	KO	18m.1	18	23.4	16.1	17.1	0.7307693	31.2	131717.0	0.7968586189980702	-0.129082845598075	-0.0572272777756644	-0.0336517293168695	-0.00595667647117628	0.0535274186384645	0.0748073725790055	0.0454859473436847	-0.160455095493238	-0.0860049309398335	-0.0345211764265222	0.00425830063095857	0.148230772553865	-0.185133241902109	0.103319156206383	-0.0277280820850627	-0.0680558836170557	-0.152622466535848	-0.0154224120790438	0.0603313675412021	-0.0568383004526222	-0.0271135220818902	-0.0434596244513155	0.0907442013860769	-0.0830438752500361	0.137655735369952	0.162967431324807	-0.117961369703579	-0.0732933277842956	-0.123328756931669
28	KO	18m.2	18	23.9	17.5	18.8	0.78661084	26.78	134836.0	0.7234169341986325	-0.101403591979843	-0.0483381324297952	0.0134166042556398	-0.0152729729990626	0.117617611926147	0.168011167676838	0.153700870041424	-0.0809274158669408	0.0906272525130487	-0.0977221923035294	-0.0544188535545639	0.0657737054679299	-0.0958823610366303	0.0274144956295783	-0.114802834437953	0.100435934548799	-0.0289812132257995	0.187298121525414	-0.0249612958943429	0.0360636501142962	0.0653867150650369	-0.157907689908059	0.0427417874622481	-0.107062644445515	0.00645734713299477	0.0689414380838122	0.0698109389695568	0.142461140556101	0.0473901870487348
