mouseId	genotype	cage	time	initialBodyWeight	lowestBodyWeight	bodyWeightAtDay8	bodyWeightDay8Fracion	maxWeightLossPercent	numberSequencesPerSample	shannonEntropy	k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales	k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2	k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales	k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales	k__Bacteria;p__Firmicutes;Other;Other	k__Bacteria;p__Firmicutes;c__Bacilli;Other	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales	k__Bacteria;p__OD1;c__ZB2;o__	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;Other	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	k__Bacteria;p__Spirochaetes;c__[Leptospirae];o__[Leptospirales]	k__Bacteria;p__TM7;c__TM7-3;o__CW040	k__Bacteria;p__Tenericutes;c__CK-1C4-19;o__	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales	k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales
47	WT	04m.4	4	17.8	16.5	16.5	0.9269663	7.3	126832.0	1.5337409287751558	0.0	1.6408268744335792	3.9966958792868272	3.810739668380565	2.9069452189427167	0.0	0.0	0.0	0.0	0.0	1.5062321223673236	0.0	0.4687149470729413	0.29474056856393444	1.786873318400665	1.02988874126727	0.0	3.6144927089091974	4.409754885074035	4.349057117638718	4.72694876249591	0.0	0.0	0.0	0.0	0.6888627315455763	0.0	0.29474056856393444	0.0	0.9886126170760708	0.0	1.7799277487302938	0.0	0.0	0.8342597378087155	0.0	0.0	0.0	1.820026681508978	0.0	0.29474056856393444	2.3621313181195687	0.29474056856393444
48	WT	12m.1	12	25.2	19.5	20.0	0.79365075	22.62	120919.0	1.0854649905687679	0.0	0.9101532750455311	3.6572012886885603	4.237642008328431	3.2039575806045364	0.0	0.0	0.0	0.0	0.0	1.0487288547421922	0.0	0.0	0.0	0.0	1.439130804684656	0.0	2.928698427633587	0.0	3.889560746659473	4.928353251059648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3501224259350715	0.0	2.3384394582245607	0.0	0.0	0.6081212442653421	0.0	0.0	0.0	0.8520183216653379	0.0	0.0	1.439130804684656	3.782067402572049
49	WT	12m.1	12	27.0	24.4	24.6	0.9111111	9.63	130007.0	1.2384992807123483	0.0	0.5846224632702546	4.078614585194804	4.181010786375482	3.4302233630732433	0.0	0.0	0.0	0.0	0.0	0.4616561664430606	0.0	1.0201645315120689	0.2894831139333987	0.0	1.2788217383689071	0.0	2.6259796092924064	0.0	4.084141833966982	4.885740479520568	0.0	0.0	0.4616561664430606	0.0	0.0	0.0	0.0	0.0	1.2331974781676367	0.0	2.6403439215010467	0.0	0.0	0.88267690014538	0.0	0.0	0.0	1.5335609129416337	0.0	0.0	1.8745222614098878	3.520541642931676
50	WT	12m.2	12	19.2	17.5	17.5	0.9114583	8.85	121250.0	1.5302961840546845	0.0	0.48171720623606923	3.375903121463793	3.694759941397434	4.476535630289218	0.0	0.0	0.0	0.0	0.0	0.9603596997537347	0.0	1.1525163159422396	0.0	0.30448151097028087	0.30448151097028087	0.0	3.7034055641051595	2.2548105402829752	3.9482870758380164	4.756457429595829	0.0	0.0	0.30448151097028087	0.0	0.6072270320171432	0.0	0.0	0.0	2.874334047914926	0.0	2.0321173212480295	0.0	0.0	0.7044793384097267	0.0	0.0	0.0	1.6087652321703627	0.0	1.4537901479650446	2.0823654487830634	4.134983657353333
51	WT	12m.2	12	21.0	15.0	15.5	0.7380952	28.57	129433.0	1.78104540681541	0.0	0.0	3.776959510112924	3.684551541241699	4.352289528955329	0.0	0.0	0.0	0.0	0.0	0.8843473278000687	0.0	2.647876592998934	0.6818659336296373	0.6818659336296373	0.2904191461548061	0.0	3.603727292523697	2.9023007610304	4.499232494936019	4.610626019558529	0.0	0.0	0.9351957283140162	0.0	1.05952558140949	0.0	0.0	0.0	2.45859242293552	0.0	3.58853897763138	0.0	0.0	0.8843473278000687	0.0	0.0	0.0	1.5588754375734044	0.0	1.28064254218779	2.4542574000192268	3.8868394058241886
52	WT	12m.3	12	24.4	21.0	21.1	0.86475414	13.93	120782.0	1.520471786345383	0.0	1.2868628433873095	3.928990735779096	4.107129181607821	2.994870381031352	0.0	0.3053287355980233	0.0	0.0	0.0	0.48284350415737964	0.0	1.6316028847946311	0.0	1.1218465458009224	1.962703716738754	0.0	3.7487585413685816	3.183771487955397	4.34135685619861	4.8092173134763945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7852923586538462	0.0	3.397895201561546	0.0	0.0	0.3053287355980233	0.0	0.0	0.0	1.4554107144195256	0.0	0.7852923586538462	2.0459041163324683	3.6601221958588344
53	WT	12m.3	12	26.1	18.9	19.7	0.7547893	27.59	124336.0	1.2953740180474984	0.0	0.6957415529287408	3.940838438514205	4.057940970732739	2.950207690308863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.741042762203657	0.29901502772580446	0.0	1.4274747126088485	0.0	2.9228221833064443	0.0	4.3651395818919685	4.859206240535041	0.0	0.0	0.29901502772580446	0.0	0.0	0.0	0.0	0.0	0.29901502772580446	0.0	3.301958560596389	0.0	0.0	0.29901502772580446	0.0	0.0	0.0	1.1102160790019464	0.0	0.0	1.3385677758022236	3.504760894783653
54	WT	12m.4	12	18.3	16.6	16.6	0.9071039	9.29	122464.0	1.214819501459898	0.0	0.7010104982202809	4.02769083264118	4.21478985577627	2.3206002381745434	0.0	0.0	0.0	0.0	0.0	1.0437106868859851	0.0	0.7010104982202809	0.0	0.0	0.4788223313643021	0.0	3.299213029480273	1.2576804018972674	3.959629101976291	4.891144139175648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6039732348313359	2.336991106949351	0.0	0.0	0.4788223313643021	0.0	0.0	0.0	0.847283917264822	0.0	0.0	1.1484955737237676	3.8270650701770608
55	WT	12m.4	12	19.2	17.4	17.4	0.90624994	9.38	107164.0	1.0787355409487929	0.0	0.5183820870559012	3.8771389771434785	4.171228624952819	2.944096243200701	0.0	0.0	0.0	0.0	0.0	0.9564802958941195	0.0	0.0	0.3323372741130337	0.0	0.8974618516561977	0.0	3.1914435602876354	1.6611542745996881	3.8761441616195214	4.933345674871703	0.0	0.0	0.0	0.0	0.0	0.0	0.3323372741130337	0.0	0.8291426139448508	0.0	1.9170559548578237	0.0	0.0	0.8291426139448508	0.0	0.0	0.0	0.6482133407332057	0.0	0.0	0.8291426139448508	3.6930539990340874
56	WT	18m.1	18	24.2	20.6	20.8	0.85950404	14.88	133734.0	1.5838200862368896	0.0	0.28355426157037533	3.923933521452519	3.804740877114336	4.567471859039782	0.0	0.0	0.0	0.0	0.0	1.4426749268510226	0.0	2.043806791676909	0.28355426157037533	0.5755754097046999	1.86241334084177	0.0	3.2068784330823883	2.426841953590254	4.458011923106571	4.583973334384264	0.0	0.28355426157037533	1.777800882431042	0.0	2.267696778089221	0.0	0.0	0.0	3.107981681155516	0.0	2.6787172804783514	0.0	2.0785450737197446	1.2883024356771433	0.0	0.0	0.0	1.771076428128846	0.0	0.0	2.0649813425765298	0.5755754097046999
